grid_id,building_count,mean_score,high_potential_ratio,high_potential_building_count,total_footprint_area_m2,mean_height_proxy_m,building_density_per_km2,footprint_density_m2_per_km2
157,1,67.96159367483841,1.0,1,44033.05516370807,9.0,4.0,176132.2206548323
803,1,47.77287012616962,1.0,1,1312.5907919863632,9.0,4.0,5250.363167945453
1138,2,52.43141696000542,1.0,2,5915.217067226597,9.0,8.0,23660.868268906386
1124,5,54.122193061061104,1.0,5,49320.42207358261,9.2,20.0,197281.68829433044
1123,3,59.38429485759573,1.0,3,15246.890917118806,30.0,12.0,60987.563668475224
1114,8,52.5541009385657,1.0,8,29285.10999431399,9.0,32.0,117140.43997725596
1110,7,49.3353580142962,1.0,7,19902.790490701933,9.0,28.0,79611.16196280773
1099,7,47.88467942464376,1.0,7,9397.712353721508,9.0,28.0,37590.84941488603
1098,2,62.284534168475076,1.0,2,20358.304596177964,14.5,8.0,81433.21838471186
1074,4,54.82131306174791,1.0,4,18906.24829775934,9.0,16.0,75624.99319103736
1009,1,48.17350631080832,1.0,1,1935.433005948448,10.0,4.0,7741.732023793792
1001,2,54.970435235543086,1.0,2,12791.31979374805,9.0,8.0,51165.2791749922
1000,4,50.76772599065514,1.0,4,9342.846269332935,9.0,16.0,37371.38507733174
974,4,63.83481828424078,1.0,4,13724.58009064055,24.0,16.0,54898.3203625622
957,1,45.72718124960905,1.0,1,919.2401019781641,9.0,4.0,3676.9604079126566
932,5,61.50279208629786,1.0,5,4066.2759334884468,100.0,20.0,16265.103733953787
931,2,64.23228789443141,1.0,2,2436.277613132581,100.0,8.0,9745.110452530324
927,4,57.67031826203387,1.0,4,3285.616482558536,66.0,16.0,13142.465930234144
890,1,59.53624886771072,1.0,1,10166.74043360986,9.0,4.0,40666.96173443944
878,1,51.35232795905995,1.0,1,2447.502988250684,9.0,4.0,9790.011953002737
873,2,52.87072906528024,1.0,2,1319.4868737366655,33.0,8.0,5277.947494946662
842,1,47.04352070735993,1.0,1,1156.058185702305,9.0,4.0,4624.23274280922
836,2,56.87476797752298,1.0,2,7452.837469182143,9.75,8.0,29811.34987672857
1139,1,61.65662553745756,1.0,1,14702.689228630776,9.0,4.0,58810.7569145231
1141,4,57.08178247414712,1.0,4,24097.50835209497,9.75,16.0,96390.03340837988
1142,9,51.85109413009775,1.0,9,12043.121214082075,10.5,36.0,48172.4848563283
1321,1,52.25595429708558,1.0,1,2864.3175823568577,9.0,4.0,11457.27032942743
1601,4,65.18890339247189,1.0,4,33250.15551324996,10.5,16.0,133000.62205299985
1560,1,47.88090631633358,1.0,1,1337.5130415873668,9.0,4.0,5350.052166349467
1542,1,49.25913409471009,1.0,1,1700.1888597027248,9.0,4.0,6800.755438810899
1479,1,72.57145667370128,1.0,1,26029.375166462407,10.5,4.0,104117.50066584963
1454,3,52.99483730799647,1.0,3,7133.190391054152,9.5,12.0,28532.76156421661
1445,1,46.1626952405069,1.0,1,991.6719684734,9.0,4.0,3966.6878738936
1438,1,60.071800083062264,1.0,1,3604.3015245126253,10.5,4.0,14417.206098050501
1407,1,46.560076236384226,1.0,1,1062.7247901315252,9.0,4.0,4250.899160526101
1356,1,65.41906788315579,1.0,1,28292.845461281006,9.0,4.0,113171.38184512402
1315,3,65.58594279530656,1.0,3,82872.77370032333,10.0,12.0,331491.09480129334
1143,2,54.19707497539627,1.0,2,8030.7010115669755,9.0,8.0,32122.804046267902
1301,6,49.71397066910444,1.0,6,12698.735161127786,9.0,24.0,50794.940644511145
1281,1,57.02870822438514,1.0,1,6572.111449634967,9.0,4.0,26288.44579853987
1276,3,56.75279900742961,1.0,3,31369.629186065617,9.0,12.0,125478.51674426247
1224,3,54.002588836113034,1.0,3,5301.626865591674,27.333333333333332,12.0,21206.507462366695
1219,1,50.64640095316254,1.0,1,2164.5358968091773,9.0,4.0,8658.14358723671
1214,2,61.19105036502367,1.0,2,30333.647895876147,9.0,8.0,121334.59158350459
1212,1,51.95506904039936,1.0,1,4302.887169899834,6.0,4.0,17211.548679599335
1183,8,47.27020554138762,1.0,8,9756.190491973979,9.0,32.0,39024.761967895916
1182,3,59.858386993383384,1.0,3,9549.293411415052,36.5,12.0,38197.17364566021
812,1,64.46225681177073,1.0,1,23954.296929598,9.0,4.0,95817.187718392
1688,1,64.84048092467056,1.0,1,25583.54579504952,9.0,4.0,102334.18318019807
719,6,54.88225723997582,1.0,6,12159.217081289087,10.25,24.0,48636.86832515635
728,16,52.58281236373852,1.0,16,21704.524267476805,17.96875,64.0,86818.09706990722
726,5,56.170356600784245,1.0,5,16966.688607940967,18.3,20.0,67866.75443176387
275,31,60.14781458875563,1.0,31,38502.69030724822,32.064516129032256,124.0,154010.76122899287
276,9,60.4694487809427,1.0,9,11185.324872368243,35.0,36.0,44741.29948947297
311,22,54.51364587689879,1.0,22,38258.584154688346,10.5,88.0,153034.33661875338
352,25,55.05063225112944,1.0,25,53889.011040133526,10.44,100.0,215556.0441605341
353,3,70.26665253056431,1.0,3,69699.97277561328,45.0,12.0,278799.8911024531
354,10,55.072538183856224,1.0,10,124461.62018718754,9.0,40.0,497846.48074875015
361,1,49.08831226250716,1.0,1,1650.377427309708,9.0,4.0,6601.509709238832
396,15,52.96592094391552,1.0,15,58300.88078154275,10.333333333333334,60.0,233203.523126171
629,12,53.136527885354866,1.0,12,16089.984639541592,10.5,48.0,64359.93855816637
628,1,55.44469941025236,1.0,1,4988.92016002522,9.0,4.0,19955.68064010088
435,2,52.59251389053843,1.0,2,8664.346140252204,9.0,8.0,34657.38456100882
603,4,59.09857855802334,1.0,4,4147.163340737428,77.25,16.0,16588.653362949713
602,3,62.48774444964954,1.0,3,2683.9597860420026,100.0,12.0,10735.83914416801
506,1,58.90430928763364,1.0,1,9108.178408980142,9.0,4.0,36432.71363592057
727,3,47.85249321444727,1.0,3,4094.3822017760863,9.0,12.0,16377.528807104345
507,1,59.696035723482034,1.0,1,10453.346876617868,9.0,4.0,41813.387506471474
749,7,57.692389234846175,1.0,7,15720.601735688506,17.785714285714285,28.0,62882.40694275402
746,1,63.69581941634984,1.0,1,20963.984027076072,9.0,4.0,83855.93610830429
228,9,55.559935894967886,1.0,9,61788.51607538636,9.333333333333334,36.0,247154.06430154544
269,2,48.55351401635487,1.0,2,3040.6338429890016,9.0,8.0,12162.535371956006
757,1,45.64335682884382,1.0,1,905.9178026443126,9.0,4.0,3623.6712105772503
756,2,53.52582537416528,1.0,2,4672.726909517218,9.75,8.0,18690.90763806887
730,1,45.67607636526051,1.0,1,911.0948475253955,9.0,4.0,3644.379390101582
316,30,60.41152116804801,0.9666666666666667,29,43513.96182549353,48.68333333333333,120.0,174055.8473019741
797,22,52.199080305746634,0.9545454545454546,21,38163.414717774955,9.818181818181818,88.0,152653.65887109982
972,19,52.42493682999981,0.9473684210526315,18,19452.330654745932,28.94736842105263,76.0,77809.32261898373
933,19,60.45690087026725,0.9473684210526315,18,32686.59194713541,62.26315789473684,76.0,130746.36778854164
1223,18,54.242076475280186,0.9444444444444444,17,29658.237635188874,30.77777777777778,72.0,118632.9505407555
1113,18,51.41013238325091,0.9444444444444444,17,56005.889211233094,9.0,72.0,224023.55684493238
928,17,51.68316128864469,0.9411764705882353,16,10842.025769018084,41.05882352941177,68.0,43368.10307607234
357,16,59.40284791057833,0.9375,15,32203.350703790784,54.25,64.0,128813.40281516314
274,30,57.09652491026761,0.9333333333333333,28,33749.8439289117,37.55333333333333,120.0,134999.3757156468
1343,12,50.26381256976571,0.9166666666666666,11,21404.183089054066,9.5,48.0,85616.73235621626
1530,12,51.04152371608091,0.9166666666666666,11,70212.04319449459,9.0,48.0,280848.17277797835
747,22,51.07817562564974,0.9090909090909091,20,43955.005451472534,9.522727272727273,88.0,175820.02180589014
1261,21,48.384957998729064,0.9047619047619048,19,37637.476141439525,9.047619047619047,84.0,150549.9045657581
688,21,48.508861576907286,0.9047619047619048,19,36678.59052784026,9.0,84.0,146714.36211136103
1616,10,48.318743806376446,0.9,9,21491.720207718885,9.0,40.0,85966.88083087554
678,27,49.72656161132973,0.8888888888888888,24,26131.72776524444,10.277777777777779,108.0,104526.91106097776
1069,9,48.94206067018296,0.8888888888888888,8,17315.9412141917,9.0,36.0,69263.7648567668
999,9,48.62977712546687,0.8888888888888888,8,21871.835626820593,9.0,36.0,87487.34250728237
883,26,54.042145522056,0.8846153846153846,23,26883.65171808848,39.88461538461539,104.0,107534.60687235392
1496,8,48.67156583281136,0.875,7,20564.65770505574,9.0,32.0,82258.63082022296
889,24,56.654627377595496,0.875,21,26384.629397165634,62.166666666666664,96.0,105538.51758866254
1459,7,47.58820311053911,0.8571428571428571,6,13003.56758704358,9.428571428571429,28.0,52014.27034817432
1008,7,47.778939899579925,0.8571428571428571,6,3960.3307272493703,18.857142857142858,28.0,15841.322908997481
874,14,50.272383821841196,0.8571428571428571,12,10130.309402983812,24.857142857142858,56.0,40521.23761193525
1156,31,50.545715723192444,0.8387096774193549,26,48870.84757912216,9.919354838709678,124.0,195483.39031648863
270,6,53.32624752069977,0.8333333333333334,5,32269.972710947837,9.25,24.0,129079.89084379135
1274,6,57.93973403740542,0.8333333333333334,5,49611.61454804974,9.5,24.0,198446.45819219897
1164,12,55.43855395131285,0.8333333333333334,10,12164.037579006676,54.0,48.0,48656.1503160267
767,6,50.890092010965496,0.8333333333333334,5,13708.301145643325,19.0,24.0,54833.2045825733
1132,12,53.28398218537102,0.8333333333333334,10,28570.33753341603,28.708333333333332,48.0,114281.35013366412
679,6,50.136648098152556,0.8333333333333334,5,11394.302615480954,9.25,24.0,45577.210461923816
832,24,53.196580191146005,0.8333333333333334,20,35948.4725801142,24.0625,96.0,143793.8903204568
1157,23,48.790700291224205,0.8260869565217391,19,33194.69945856685,11.478260869565217,92.0,132778.7978342674
807,17,53.438953277662975,0.8235294117647058,14,24310.578923744386,35.794117647058826,68.0,97242.31569497754
839,28,51.260419649459664,0.8214285714285714,23,59087.67901566405,10.625,112.0,236350.7160626562
725,11,53.56521691266378,0.8181818181818182,9,29902.055506375866,14.590909090909092,44.0,119608.22202550346
1649,21,49.91626510920541,0.8095238095238095,17,37221.66757545095,10.238095238095237,84.0,148886.6703018038
762,5,54.27999589628968,0.8,4,11465.280533464917,10.2,20.0,45861.122133859666
271,5,54.268420324742316,0.8,4,24106.644544678253,9.6,20.0,96426.57817871301
691,5,45.304562216392284,0.8,4,5029.928328709176,9.0,20.0,20119.713314836703
1275,15,50.08573659249429,0.8,12,36297.602639015226,10.0,60.0,145190.4105560609
1153,25,46.538927634621395,0.8,20,28797.125389915876,9.0,100.0,115188.5015596635
1322,5,49.299326148574956,0.8,4,10235.387371112842,9.3,20.0,40941.54948445137
1116,5,52.130996398702486,0.8,4,20897.149231078238,9.0,20.0,83588.59692431295
793,10,48.09986646378577,0.8,8,11806.119480338657,13.5,40.0,47224.47792135463
1067,48,45.595106874300875,0.7916666666666666,38,48777.713114025,9.0,192.0,195110.8524561
1342,24,47.46920557880177,0.7916666666666666,19,38264.88704404692,9.0,96.0,153059.54817618767
643,19,48.4606490631404,0.7894736842105263,15,15310.228004141467,20.05263157894737,76.0,61240.91201656587
395,14,49.56556667551318,0.7857142857142857,11,41893.681758982355,9.0,56.0,167574.72703592942
522,9,48.59351476845545,0.7777777777777778,7,19891.229601214694,9.0,36.0,79564.91840485878
1068,22,47.32872531735932,0.7727272727272727,17,60238.56967052508,9.0,88.0,240954.27868210032
317,39,52.67774806788889,0.7692307692307693,30,17659.300205615968,64.67948717948718,156.0,70637.20082246387
707,13,47.17549353034261,0.7692307692307693,10,17500.29020071812,9.0,52.0,70001.16080287247
436,13,50.51146679512858,0.7692307692307693,10,47666.935003909886,9.0,52.0,190667.74001563955
1075,13,48.57648729253746,0.7692307692307693,10,26355.26183286001,9.0,52.0,105421.04733144004
848,26,47.039761458736244,0.7692307692307693,20,32966.29421020994,9.173076923076923,104.0,131865.17684083976
750,51,46.86248469762113,0.7647058823529411,39,52617.50024778957,14.03921568627451,204.0,210470.00099115827
560,42,48.238112627747135,0.7619047619047619,32,60599.57196821617,10.595238095238095,168.0,242398.2878728647
1096,25,46.81485072386219,0.76,19,29818.20377927226,9.0,100.0,119272.81511708903
1648,20,49.15522739146157,0.75,15,27715.892518348417,10.15,80.0,110863.57007339367
808,12,52.594845215477484,0.75,9,16092.0101382264,30.416666666666668,48.0,64368.0405529056
1273,12,49.99161413180807,0.75,9,20753.151377753053,9.5,48.0,83012.60551101221
1215,8,49.907625883384036,0.75,6,12684.361647848145,9.5625,32.0,50737.44659139258
1457,8,47.88595763000436,0.75,6,12294.556863056649,9.0,32.0,49178.227452226594
227,16,48.87918026227856,0.75,12,29133.609024668105,9.46875,64.0,116534.43609867242
1109,8,49.78772088994598,0.75,6,18135.747775664982,9.0,32.0,72542.99110265993
1413,4,54.46624183388699,0.75,3,23357.823197436905,9.375,16.0,93431.29278974762
1007,4,47.23680742564847,0.75,3,5739.436128188101,9.25,16.0,22957.744512752404
1115,12,50.35680849186834,0.75,9,21114.65382533108,17.416666666666668,48.0,84458.61530132432
1320,24,48.79087156081129,0.75,18,17425.060141586204,19.3125,96.0,69700.24056634482
709,4,56.03913164040293,0.75,3,30078.05641283628,13.25,16.0,120312.22565134511
